Order Date,Due Date,Ship Date,Order Number,Product ID,Customer ID,Territory ID,Order Line Item,Order Quantity,Product Cost,Retail Price
00:00.0,00:00.0,00:00.0,SO43697,310,21768,6,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43698,346,28389,7,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43699,346,25863,1,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43700,336,14501,4,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43701,346,11003,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43702,311,27645,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43703,310,16624,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43704,351,11005,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43705,344,11011,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43706,312,27621,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43707,312,27616,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43708,330,20042,10,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43709,313,16351,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43710,314,16517,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43711,314,27606,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43712,311,13513,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43713,310,27601,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43714,311,13591,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43715,314,16483,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43716,311,16529,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43717,336,25249,9,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43718,311,27668,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43719,312,27612,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43720,311,13264,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43721,310,13590,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43722,312,13581,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43723,332,14520,1,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43724,311,16520,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43725,311,13258,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43726,332,14560,4,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43727,311,16607,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43728,313,27666,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43729,346,11238,10,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43730,346,25861,4,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43731,314,16629,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43732,350,11025,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43733,312,27577,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43734,312,27604,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43735,310,16522,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43736,346,11002,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43737,311,13261,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43738,312,11606,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43739,310,13563,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43740,312,16527,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43741,310,27671,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43742,314,13576,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43743,347,11007,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43744,313,16631,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43745,311,16514,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43746,312,16616,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43747,314,27623,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43748,313,27625,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43749,314,27636,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43750,311,11591,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43751,313,11592,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43752,311,13265,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43753,310,16482,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43754,312,27617,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43755,311,27670,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43756,332,19941,10,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43757,350,11017,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43758,310,27646,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43759,310,13257,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43760,314,16352,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43761,310,16493,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43762,314,27578,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43763,313,16525,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43764,310,16612,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43765,346,11010,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43766,313,16518,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43767,350,11001,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43768,312,27649,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43769,312,21659,6,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43770,312,27614,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43771,330,14559,4,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43772,312,16524,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43773,314,16526,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43774,313,16348,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43775,347,11027,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43776,314,13260,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43777,311,16515,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43778,345,11018,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43779,326,25252,9,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43780,311,11599,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43781,312,16495,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43782,312,16516,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43783,312,16620,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43784,310,27667,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43785,311,11601,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43786,311,11607,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43787,344,29385,8,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43788,351,11239,10,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43789,351,25865,1,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43790,344,25857,1,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43791,314,16484,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43792,312,16623,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43793,344,11000,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43794,347,11029,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43795,312,27615,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43796,342,17956,7,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43797,312,16345,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43798,310,16521,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43799,312,16636,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43800,311,21710,6,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43801,311,13583,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43802,312,11593,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43803,314,21741,6,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43804,310,13585,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43805,328,14510,1,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43806,312,16523,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43807,312,11611,7,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43808,313,13259,8,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43809,310,16350,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43810,345,11004,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43811,346,11026,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43812,312,27662,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43813,350,28390,7,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43814,350,25866,1,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43815,311,16494,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43816,314,16496,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43817,310,16519,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43818,312,16528,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43819,346,11006,9,1,1,1912.1544,3399.99
00:00.0,00:00.0,00:00.0,SO43820,312,27651,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43821,310,27663,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43822,313,27669,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43823,342,19942,10,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43824,338,14558,1,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43825,313,16349,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43826,348,11008,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43827,338,25250,9,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43828,310,27605,1,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43829,310,27611,4,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43830,311,16347,9,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43831,349,11028,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43832,310,13584,10,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43833,310,21727,6,1,1,2171.2942,3578.27
00:00.0,00:00.0,00:00.0,SO43834,348,28393,7,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43835,348,19802,6,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43836,324,26620,6,1,1,413.1463,699.0982
00:00.0,00:00.0,00:00.0,SO43837,350,11009,9,1,1,1898.0944,3374.99
00:00.0,00:00.0,00:00.0,SO43838,313,27641,4,1,1,2171.2942,3578.27
